Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
Bulgaria,359,13,8,,17,334,13,52,1,06-Mar
Bosnia and Herzegovina,358,35,9,3,17,332,1,109,3,04-Mar
Slovakia,336,22,,,7,329,1,62,,05-Mar
Andorra,334,,6,,6,322,10,4323,78,01-Mar
Costa Rica,314,,2,,3,309,6,62,0.4,04-Mar
Tunisia,312,,8,,2,302,10,26,0.7,01-Mar
Uruguay,310,6,1,,,309,9,89,0.3,12-Mar
Taiwan,306,8,5,2,39,262,,13,0.2,20-Jan
Kazakhstan,302,18,1,,21,280,,16,0.05,12-Mar
Moldova,298,35,2,,15,281,44,74,0.5,06-Mar
North Macedonia,285,26,7,1,12,266,1,137,3,25-Feb
Azerbaijan,273,64,4,,26,243,23,27,0.4,27-Feb
Jordan,268,9,5,2,26,237,3,26,0.5,01-Mar
Kuwait,266,11,,,72,194,13,62,,23-Feb
Burkina Faso,246,24,12,,31,203,,12,0.6,08-Mar
San Marino,230,6,25,3,13,192,16,6778,737,26-Feb
Cyprus,230,16,7,1,22,201,3,190,6,08-Mar
Réunion,224,41,,,1,223,,250,,10-Mar
Albania,223,11,11,1,44,168,7,77,4,07-Mar
Vietnam,203,9,,,55,148,3,2,,22-Jan
Oman,179,12,,,29,150,3,35,,23-Feb
Afghanistan,170,50,4,,2,164,,4,0.1,23-Feb
Cuba,170,31,4,1,4,162,2,15,0.4,10-Mar
Faeroe Islands,168,9,,,70,98,1,3438,,03-Mar
Ivory Coast,165,,1,,4,160,,6,0.04,10-Mar
Senegal,162,20,,,27,135,,10,,01-Mar
Malta,156,5,,,2,154,4,353,,06-Mar
Ghana,152,,5,,2,145,1,5,0.2,11-Mar
Belarus,152,58,,,32,120,2,16,,27-Feb
Uzbekistan,149,5,2,,7,140,8,4,0.06,14-Mar
Channel Islands,141,33,2,,,139,,811,12,08-Mar
Cameroon,139,,6,,5,128,,5,0.2,05-Mar
Honduras,139,29,3,,3,133,4,14,0.3,10-Mar
Venezuela,129,10,3,,39,87,6,5,0.1,12-Mar
Mauritius,128,21,3,,,125,1,101,2,17-Mar
Brunei,127,1,1,,38,88,3,290,2,08-Mar
Sri Lanka,122,5,2,1,15,105,5,6,0.09,26-Jan
Palestine,116,7,1,,18,97,,23,0.2,04-Mar
Nigeria,111,,2,1,3,106,,0.5,0.01,27-Feb
Cambodia,107,4,,,21,86,1,6,,26-Jan
Guadeloupe,106,,4,,17,85,10,265,10,12-Mar
Georgia,103,12,,,20,83,6,26,,25-Feb
Bolivia,97,16,4,3,,93,3,8,0.3,09-Mar
Kyrgyzstan,94,10,,,3,91,,14,,17-Mar
Martinique,93,,1,,,92,12,248,3,04-Mar
Montenegro,91,6,1,,,90,1,145,2,16-Mar
Trinidad and Tobago,82,4,3,,1,78,,59,2,11-Mar
Mayotte,82,19,,,10,72,3,301,,13-Mar
DRC,81,,8,,2,71,,0.9,0.09,09-Mar
Rwanda,70,,,,,70,,5,,13-Mar
Gibraltar,69,4,,,34,35,,2048,,02-Mar
Paraguay,64,5,3,,1,60,3,9,0.4,06-Mar
Liechtenstein,62,6,,,,62,,1626,,02-Mar
Kenya,50,8,1,,1,48,2,0.9,0.02,12-Mar
Aruba,50,,,,1,49,,468,,12-Mar
Bangladesh,49,1,5,,19,25,1,0.3,0.03,07-Mar
Monaco,49,3,1,,1,47,,1249,25,27-Feb
Isle of Man,49,7,,,,49,,576,,18-Mar
French Guiana,43,,,,6,37,,144,,06-Mar
Madagascar,43,4,,,,43,,2,,19-Mar
Macao,38,1,,,10,28,,59,,21-Jan
Guatemala,36,2,1,,10,25,1,2,0.06,12-Mar
Jamaica,36,4,1,,2,33,,12,0.3,09-Mar
French Polynesia,35,5,,,,35,2,125,,10-Mar
Zambia,35,6,,,,35,,2,,17-Mar
Barbados,33,,,,,33,,115,,16-Mar
Uganda,33,,,,,33,,0.7,,20-Mar
Togo,30,5,1,,1,28,,4,0.1,05-Mar
El Salvador,30,6,,,,30,5,5,,18-Mar
Mali,25,7,2,1,,23,,1,0.1,24-Mar
Ethiopia,23,2,,,4,19,1,0.2,,12-Mar
Niger,22,4,3,2,,19,,0.9,0.1,18-Mar
Bermuda,22,,,,2,20,,353,,17-Mar
Guinea,22,6,,,,22,,2,,12-Mar
Congo,19,,,,,19,,3,,14-Mar
Tanzania,19,5,,,1,18,,0.3,,15-Mar
Djibouti,18,,,,,18,,18,,17-Mar
Maldives,17,,,,13,4,,31,,06-Mar
Saint Martin,15,4,1,1,2,12,,388,26,29-Feb
Haiti,15,,,,1,14,,1,,19-Mar
New Caledonia,15,,,,,15,,53,,17-Mar
Bahamas,14,,,,1,13,,36,,14-Mar
Myanmar,14,4,,,,14,,0.3,,22-Mar
Cayman Islands,12,,1,,,11,,183,15,12-Mar
Equatorial Guinea,12,,,,,12,,9,,13-Mar
Eritrea,12,,,,,12,,3,,20-Mar
Mongolia,12,,,,2,10,,4,,09-Mar
Curaçao,11,3,1,,2,8,,67,6,12-Mar
Dominica,11,,,,,11,,153,,21-Mar
Namibia,11,,,,2,9,,4,,13-Mar
Greenland,10,,,,2,8,,176,,15-Mar
Syria,9,,1,,,8,,0.5,0.06,21-Mar
Grenada,9,,,,,9,,80,,21-Mar
Saint Lucia,9,,,,1,8,,49,,12-Mar
Eswatini,9,,,,,9,,8,,13-Mar
Guyana,8,,1,,,7,,10,1,11-Mar
Guinea-Bissau,8,6,,,,8,,4,,24-Mar
Laos,8,,,,,8,,1,,23-Mar
Libya,8,,,,,8,,1,,23-Mar
Mozambique,8,,,,,8,,0.3,,21-Mar
Seychelles,8,,,,,8,,81,,13-Mar
Suriname,8,,,,,8,,14,,12-Mar
Angola,7,,2,,,5,,0.2,0.06,19-Mar
Gabon,7,,1,,,6,,3,0.4,12-Mar
Zimbabwe,7,,1,,,6,,0.5,0.07,19-Mar
Antigua and Barbuda,7,,,,,7,,71,,12-Mar
Saint Kitts and Nevis,7,5,,,,7,,132,,24-Mar
Sudan,6,,2,1,,4,,0.1,0.05,12-Mar
Cabo Verde,6,,1,,,5,,11,2,19-Mar
Benin,6,,,,,6,,0.5,,15-Mar
Vatican City,6,,,,,6,,7491,,05-Mar
St. Barth,6,1,,,1,5,,607,,29-Feb
Sint Maarten,6,,,,,6,,140,,17-Mar
Nepal,5,,,,1,4,,0.2,,23-Jan
Chad,5,2,,,,5,,0.3,,18-Mar
Fiji,5,,,,,5,,6,,18-Mar
Mauritania,5,,,,2,3,,1,,12-Mar
Montserrat,5,,,,,5,,1002,,17-Mar
Turks and Caicos,5,1,,,,5,,129,,22-Mar
Gambia,4,,1,,,3,,2,0.4,16-Mar
Nicaragua,4,,1,,,3,,0.6,0.2,18-Mar
Bhutan,4,,,,,4,,5,,05-Mar
Belize,3,1,,,,3,,8,,22-Mar
Botswana,3,3,,,,3,,1,,29-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Somalia,3,,,,,3,,0.2,,15-Mar
MS Zaandam,2,,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
British Virgin Islands,2,,,,,2,,66,,24-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,1,0,,9,,10-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
