Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
Cyprus,179,17,5,,15,159,3,148,4,08-Mar
Vietnam,174,11,,,21,153,3,2,,22-Jan
Faeroe Islands,155,11,,,54,101,2,3172,,03-Mar
Oman,152,21,,,23,129,,30,,23-Feb
Malta,149,10,,,2,147,1,337,,06-Mar
Ghana,141,4,5,1,2,134,1,5,0.2,11-Mar
Senegal,130,11,,,18,112,,8,,01-Mar
Brunei,120,5,1,1,25,94,1,274,2,08-Mar
Cuba,119,39,3,1,4,112,2,11,0.3,10-Mar
Venezuela,119,6,2,,39,78,2,4,0.07,12-Mar
Sri Lanka,113,7,1,1,9,103,5,5,0.05,26-Jan
Afghanistan,110,,4,,2,104,,3,0.1,23-Feb
Uzbekistan,104,16,2,1,5,97,8,3,0.06,14-Mar
Palestine,104,13,1,,18,85,,20,0.2,04-Mar
Guadeloupe,102,29,2,1,17,83,4,255,5,12-Mar
Mauritius,102,8,2,,,100,1,80,2,17-Mar
Ivory Coast,101,,,,3,98,,4,,10-Mar
Cambodia,99,,,,13,86,1,6,,26-Jan
Channel Islands,97,9,1,,,96,,558,6,08-Mar
Nigeria,97,27,1,,3,93,,0.5,0,27-Feb
Honduras,95,27,1,,3,91,4,10,0.1,10-Mar
Belarus,94,,,,32,62,2,10,,27-Feb
Martinique,93,,1,,,92,12,248,3,04-Mar
Cameroon,91,,2,,2,87,,3,0.08,05-Mar
Georgia,90,7,,,14,76,1,23,,25-Feb
Montenegro,84,2,1,,,83,1,134,2,16-Mar
Trinidad and Tobago,76,10,3,1,1,72,,54,2,11-Mar
Bolivia,74,13,,,,74,,6,,09-Mar
DRC,65,14,6,3,2,57,,0.7,0.07,09-Mar
Mayotte,63,13,,,,63,,231,,13-Mar
Rwanda,60,6,,,,60,,5,,13-Mar
Kyrgyzstan,58,,,,,58,,9,,17-Mar
Paraguay,56,4,3,,1,52,1,8,0.4,06-Mar
Gibraltar,56,1,,,14,42,,1662,,02-Mar
Liechtenstein,56,,,,,56,,1469,,02-Mar
Bangladesh,48,,5,,15,28,1,0.3,0.03,07-Mar
Aruba,46,13,,,1,45,,431,,12-Mar
Monaco,43,1,1,1,1,41,,1096,25,27-Feb
Kenya,38,7,1,,1,36,2,0.7,0.02,12-Mar
Guatemala,34,6,1,,10,23,1,2,0.06,12-Mar
Macao,34,,,,10,24,,52,,21-Jan
Isle of Man,32,3,,,,32,,376,,18-Mar
Jamaica,30,4,1,,2,27,,10,0.3,09-Mar
French Polynesia,30,,,,,30,,107,,10-Mar
Uganda,30,7,,,,30,,0.7,,20-Mar
French Guiana,28,,,,6,22,,94,,06-Mar
Zambia,28,6,,,,28,,2,,17-Mar
Barbados,26,,,,,26,,90,,16-Mar
Madagascar,26,,,,,26,,0.9,,19-Mar
Togo,25,,1,,1,23,,3,0.1,05-Mar
El Salvador,19,6,,,,19,,3,,18-Mar
Mali,18,7,1,1,,17,,0.9,0.05,24-Mar
Bermuda,17,,,,2,15,,273,,17-Mar
Ethiopia,16,,,,1,15,,0.1,,12-Mar
Maldives,16,,,,9,7,,30,,06-Mar
New Caledonia,15,,,,,15,,53,,17-Mar
Djibouti,14,2,,,,14,,14,,17-Mar
Tanzania,14,1,,,1,13,,0.2,,15-Mar
Equatorial Guinea,12,,,,,12,,9,,13-Mar
Mongolia,12,1,,,,12,,4,,09-Mar
Dominica,11,,,,,11,,153,,21-Mar
Saint Martin,11,,,,,11,,284,,29-Feb
Niger,10,,1,,,9,,0.4,0.04,18-Mar
Bahamas,10,,,,1,9,,25,,14-Mar
Greenland,10,,,,2,8,,176,,15-Mar
Eswatini,9,,,,,9,,8,,13-Mar
Cayman Islands,8,,1,,,7,,122,15,12-Mar
Curaçao,8,,1,,2,5,,49,6,12-Mar
Guyana,8,3,1,,,7,,10,1,11-Mar
Guinea,8,,,,,8,,0.6,,12-Mar
Haiti,8,,,,,8,,0.7,,19-Mar
Laos,8,2,,,,8,,1,,23-Mar
Mozambique,8,1,,,,8,,0.3,,21-Mar
Myanmar,8,,,,,8,,0.1,,22-Mar
Namibia,8,,,,2,6,,3,,13-Mar
Seychelles,8,1,,,,8,,81,,13-Mar
Suriname,8,,,,,8,,14,,12-Mar
Gabon,7,,1,,,6,,3,0.4,12-Mar
Zimbabwe,7,2,1,,,6,,0.5,0.07,19-Mar
Antigua and Barbuda,7,,,,,7,,71,,12-Mar
Grenada,7,,,,,7,,62,,21-Mar
Cabo Verde,6,1,1,,,5,,11,2,19-Mar
Benin,6,,,,,6,,0.5,,15-Mar
Eritrea,6,,,,,6,,2,,20-Mar
Vatican City,6,2,,,,6,,7491,,05-Mar
Sint Maarten,6,3,,,,6,,140,,17-Mar
Sudan,5,2,1,,,4,,0.1,0.02,12-Mar
Nepal,5,1,,,1,4,,0.2,,23-Jan
Angola,5,1,,,,5,,0.2,,19-Mar
Fiji,5,,,,,5,,6,,18-Mar
Mauritania,5,2,,,,5,,1,,12-Mar
Montserrat,5,,,,,5,,1002,,17-Mar
St. Barth,5,,,,,5,,506,,29-Feb
Syria,5,,,,,5,,0.3,,21-Mar
Nicaragua,4,,1,,,3,,0.6,0.2,18-Mar
Congo,4,,,,,4,,0.7,,14-Mar
Turks and Caicos,4,2,,,,4,,103,,22-Mar
Gambia,3,,1,,,2,,1,0.4,16-Mar
Bhutan,3,,,,,3,,4,,05-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Chad,3,,,,,3,,0.2,,18-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Libya,3,2,,,,3,,0.4,,23-Mar
Saint Lucia,3,,,,1,2,,16,,12-Mar
Somalia,3,,,,,3,,0.2,,15-Mar
MS Zaandam,2,,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
Belize,2,,,,,2,,5,,22-Mar
British Virgin Islands,2,,,,,2,,66,,24-Mar
Guinea-Bissau,2,,,,,2,,1,,24-Mar
Saint Kitts and Nevis,2,,,,,2,,38,,24-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,1,0,,9,,10-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
