Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
DRC,81,,8,,2,71,,0.9,0.09,09-Mar
Rwanda,70,,,,,70,,5,,13-Mar
Gibraltar,69,4,,,34,35,,2048,,02-Mar
Paraguay,64,5,3,,1,60,3,9,0.4,06-Mar
Liechtenstein,62,6,,,,62,,1626,,02-Mar
Kenya,50,8,1,,1,48,2,0.9,0.02,12-Mar
Aruba,50,,,,1,49,,468,,12-Mar
Bangladesh,49,1,5,,19,25,1,0.3,0.03,07-Mar
Monaco,49,3,1,,1,47,,1249,25,27-Feb
Isle of Man,49,7,,,,49,,576,,18-Mar
French Guiana,43,,,,6,37,,144,,06-Mar
Madagascar,43,4,,,,43,,2,,19-Mar
Macao,38,1,,,10,28,,59,,21-Jan
Guatemala,36,2,1,,10,25,1,2,0.06,12-Mar
Jamaica,36,4,1,,2,33,,12,0.3,09-Mar
French Polynesia,36,6,,,,36,2,128,,10-Mar
Zambia,35,6,,,,35,,2,,17-Mar
Barbados,33,,,,,33,,115,,16-Mar
Uganda,33,,,,,33,,0.7,,20-Mar
Togo,30,5,1,,1,28,,4,0.1,05-Mar
El Salvador,30,6,,,,30,5,5,,18-Mar
Niger,27,9,3,2,,24,,1,0.1,18-Mar
Bermuda,27,5,,,2,25,,434,,17-Mar
Mali,25,7,2,1,,23,,1,0.1,24-Mar
Ethiopia,23,2,,,4,19,1,0.2,,12-Mar
Guinea,22,6,,,,22,,2,,12-Mar
Congo,19,,,,,19,,3,,14-Mar
Tanzania,19,5,,,1,18,,0.3,,15-Mar
Djibouti,18,,,,,18,,18,,17-Mar
Maldives,17,,,,13,4,,31,,06-Mar
Saint Martin,15,4,1,1,2,12,,388,26,29-Feb
Eritrea,15,3,,,,15,,4,,20-Mar
Haiti,15,,,,1,14,,1,,19-Mar
New Caledonia,15,,,,,15,,53,,17-Mar
Bahamas,14,,,,1,13,,36,,14-Mar
Myanmar,14,4,,,,14,,0.3,,22-Mar
Cayman Islands,12,,1,,,11,,183,15,12-Mar
Dominica,12,1,,,,12,,167,,21-Mar
Equatorial Guinea,12,,,,,12,,9,,13-Mar
Mongolia,12,,,,2,10,,4,,09-Mar
Curaçao,11,3,1,,2,8,,67,6,12-Mar
Namibia,11,,,,2,9,,4,,13-Mar
Syria,10,1,2,1,,8,,0.6,0.1,21-Mar
Greenland,10,,,,2,8,,176,,15-Mar
Grenada,9,,,,,9,,80,,21-Mar
Saint Lucia,9,,,,1,8,,49,,12-Mar
Eswatini,9,,,,,9,,8,,13-Mar
Guyana,8,,1,,,7,,10,1,11-Mar
Guinea-Bissau,8,6,,,,8,,4,,24-Mar
Laos,8,,,,,8,,1,,23-Mar
Libya,8,,,,,8,,1,,23-Mar
Mozambique,8,,,,,8,,0.3,,21-Mar
Seychelles,8,,,,,8,,81,,13-Mar
Suriname,8,,,,,8,,14,,12-Mar
Angola,7,,2,,1,4,,0.2,0.06,19-Mar
Gabon,7,,1,,,6,,3,0.4,12-Mar
Zimbabwe,7,,1,,,6,,0.5,0.07,19-Mar
Antigua and Barbuda,7,,,,,7,,71,,12-Mar
Saint Kitts and Nevis,7,5,,,,7,,132,,24-Mar
Sudan,6,,2,1,,4,,0.1,0.05,12-Mar
Cabo Verde,6,,1,,,5,,11,2,19-Mar
Mauritania,6,1,1,1,2,3,,1,0.2,12-Mar
Benin,6,,,,,6,,0.5,,15-Mar
Vatican City,6,,,,,6,,7491,,05-Mar
St. Barth,6,1,,,1,5,,607,,29-Feb
Sint Maarten,6,,,,,6,,140,,17-Mar
Nepal,5,,,,1,4,,0.2,,23-Jan
Chad,5,2,,,,5,,0.3,,18-Mar
Fiji,5,,,,,5,,6,,18-Mar
Montserrat,5,,,,,5,,1002,,17-Mar
Turks and Caicos,5,1,,,,5,,129,,22-Mar
Gambia,4,,1,,,3,,2,0.4,16-Mar
Nicaragua,4,,1,,,3,,0.6,0.2,18-Mar
Bhutan,4,,,,,4,,5,,05-Mar
Belize,3,1,,,,3,,8,,22-Mar
Botswana,3,3,,,,3,,1,,29-Mar
CAR,3,,,,,3,,0.6,,14-Mar
Liberia,3,,,,,3,,0.6,,15-Mar
Somalia,3,,,,,3,,0.2,,15-Mar
MS Zaandam,2,,,,,2,,,,26-Mar
Anguilla,2,,,,,2,,133,,25-Mar
British Virgin Islands,2,,,,,2,,66,,24-Mar
Papua New Guinea,1,,,,,1,,0.1,,19-Mar
St. Vincent Grenadines,1,,,,1,0,,9,,10-Mar
Timor-Leste,1,,,,,1,,0.8,,20-Mar
