Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
USA,104126,18691,1696,401,2522,99908,2463,315,5,20-Jan
Italy,86498,5909,9134,919,10950,66414,3732,1431,151,29-Jan
China,81340,55,3292,5,74588,3460,1034,57,2,10-Jan
Spain,65719,7933,5138,773,9357,51224,4165,1406,110,30-Jan
Germany,50871,6933,351,84,6658,43862,1581,607,4,26-Jan
France,32964,3809,1995,299,5700,25269,3787,505,31,23-Jan
Iran,32332,2926,2378,144,11133,18821,2893,385,28,18-Feb
UK,14543,2885,759,181,135,13649,163,214,11,30-Jan
Switzerland,12928,1117,231,39,1530,11167,203,1494,27,24-Feb
S. Korea,9332,91,139,8,4528,4665,59,182,3,19-Jan
Netherlands,8603,1172,546,112,3,8054,761,502,32,26-Feb
Austria,7697,788,58,9,225,7414,128,855,6,24-Feb
Belgium,7284,1049,289,69,858,6137,690,628,25,03-Feb
Turkey,5698,2069,92,17,42,5564,241,68,1,09-Mar
Canada,4757,714,55,16,354,4348,120,126,1,24-Jan
Portugal,4268,724,76,16,43,4149,71,419,7,01-Mar
Norway,3771,399,19,5,7,3745,70,696,4,25-Feb
Brazil,3417,432,92,15,6,3319,296,16,0.4,24-Feb
Australia,3378,328,13,,170,3195,23,132,0.5,24-Jan
Sweden,3069,229,105,28,16,2948,214,304,10,30-Jan
Israel,3035,342,12,4,79,2944,49,351,1,20-Feb
Czechia,2279,354,9,,11,2259,34,213,0.8,29-Feb
Malaysia,2161,130,26,3,259,1876,54,67,0.8,24-Jan
Ireland,2121,302,22,3,5,2094,59,430,4,28-Feb
Denmark,2046,169,52,11,1,1993,109,353,9,26-Feb
Ecuador,1627,224,41,7,3,1583,58,92,2,28-Feb
Chile,1610,304,5,1,43,1562,7,84,0.3,02-Mar
Luxembourg,1605,152,15,6,40,1550,25,2564,24,28-Feb
Japan,1499,112,49,2,372,1078,56,12,0.4,14-Jan
Poland,1389,168,16,,7,1366,3,37,0.4,03-Mar
Pakistan,1373,172,11,2,23,1339,7,6,0.05,25-Feb
Romania,1292,263,26,3,115,1151,32,67,1,25-Feb
South Africa,1170,243,1,1,31,1138,7,20,0.02,04-Mar
Thailand,1136,91,5,1,97,1034,11,16,0.07,12-Jan
Saudi Arabia,1104,92,3,,35,1066,6,32,0.09,01-Mar
Indonesia,1046,153,87,9,46,913,,4,0.3,01-Mar
Finland,1041,83,7,2,10,1024,32,188,1,28-Jan
Russia,1036,196,4,1,45,987,8,7,0.03,30-Jan
Greece,966,74,28,1,52,886,66,93,3,25-Feb
Iceland,890,88,2,,97,791,18,2608,6,27-Feb
India,887,160,20,,73,794,,0.6,0.01,29-Jan
Philippines,803,96,54,9,31,718,1,7,0.5,29-Jan
Panama,786,112,14,5,2,770,20,182,3,09-Mar
Singapore,732,49,2,,183,547,17,125,0.3,22-Jan
Diamond Princess,712,,10,,597,105,15,,,04-Feb
Peru,635,55,11,2,16,608,21,19,0.3,05-Mar
Slovenia,632,70,9,3,10,613,14,304,4,03-Mar
Argentina,589,,13,1,72,504,,13,0.3,02-Mar
Croatia,586,91,3,,37,546,14,143,0.7,24-Feb
Mexico,585,110,8,2,4,573,1,5,0.06,27-Feb
Dominican Republic,581,93,20,10,3,558,,54,2,29-Feb
Estonia,575,37,1,,11,563,7,433,0.8,26-Feb
Qatar,562,13,,,43,519,6,195,,28-Feb
Colombia,539,48,6,,10,523,,11,0.1,05-Mar
Egypt,536,41,30,6,116,390,,5,0.3,13-Feb
Serbia,528,71,8,1,42,478,25,60,0.9,05-Mar
Hong Kong,519,65,4,,111,404,5,69,0.5,22-Jan
Bahrain,466,8,4,,227,235,1,274,2,23-Feb
Iraq,458,76,40,4,122,296,,11,1,21-Feb
Algeria,409,42,26,1,29,354,,9,0.6,24-Feb
UAE,405,72,2,,52,351,2,41,0.2,28-Jan
Lebanon,391,23,8,2,27,356,3,57,1,20-Feb
New Zealand,368,,,,37,331,1,76,,27-Feb
Lithuania,358,59,5,1,1,352,2,132,2,27-Feb
Morocco,345,70,23,12,11,311,1,9,0.6,01-Mar
Armenia,329,39,1,,28,300,6,111,0.3,29-Feb
Ukraine,310,114,5,,5,300,,7,0.1,02-Mar
Hungary,300,39,10,,34,256,6,31,1,03-Mar
Bulgaria,293,29,3,,9,281,8,42,0.4,06-Mar
Latvia,280,36,,,1,279,,148,,01-Mar
Slovakia,269,43,,,2,267,1,49,,05-Mar
Andorra,267,43,3,,1,263,11,3456,39,01-Mar
Taiwan,267,15,2,,30,235,,11,0.08,20-Jan
Costa Rica,263,32,2,,3,258,5,52,0.4,04-Mar
Uruguay,238,,,,,238,3,69,,12-Mar
Bosnia and Herzegovina,237,46,4,1,5,228,1,72,1,04-Mar
Jordan,235,23,1,1,18,216,,23,0.1,01-Mar
Tunisia,227,30,7,2,2,218,10,19,0.6,01-Mar
Kuwait,225,17,,,57,168,11,53,,23-Feb
San Marino,223,15,21,,6,196,15,6572,619,26-Feb
North Macedonia,219,18,3,,3,213,1,105,1,25-Feb
Moldova,199,22,2,1,2,195,33,49,0.5,06-Mar
Albania,186,12,8,2,31,147,3,65,3,07-Mar
Burkina Faso,180,28,9,2,12,159,,9,0.4,08-Mar
Azerbaijan,165,43,3,,15,147,6,16,0.3,27-Feb
Vietnam,163,10,,,20,143,3,2,,22-Jan
Cyprus,162,16,5,2,15,142,3,134,4,08-Mar
Kazakhstan,150,37,1,,3,146,,8,0.05,12-Mar
Réunion,145,10,,,1,144,,162,,10-Mar
Faeroe Islands,144,4,,,54,90,2,2947,,03-Mar
Malta,139,5,,,2,137,1,315,,06-Mar
Ghana,137,5,4,,2,131,1,4,0.1,11-Mar
Oman,131,22,,,23,108,,26,,23-Feb
Senegal,119,14,,,11,108,,7,,01-Mar
Brunei,115,1,,,11,104,1,263,,08-Mar
Venezuela,113,6,2,1,31,80,2,4,0.07,12-Mar
Afghanistan,110,16,4,,2,104,,3,0.1,23-Feb
Sri Lanka,106,,,,7,99,5,5,,26-Jan
Ivory Coast,101,5,,,3,98,,4,,10-Mar
Cambodia,99,1,,,11,88,1,6,,26-Jan
Mauritius,94,13,2,,,92,1,74,2,17-Mar
Belarus,94,8,,,32,62,2,10,,27-Feb
Martinique,93,12,1,,,92,12,248,3,04-Mar
Cameroon,91,16,2,1,2,87,,3,0.08,05-Mar
Palestine,91,5,1,,17,73,,18,0.2,04-Mar
Channel Islands,88,22,1,,,87,,506,6,08-Mar
Uzbekistan,88,13,1,1,5,82,8,3,0.03,14-Mar
Georgia,83,4,,,14,69,1,21,,25-Feb
Montenegro,82,13,1,,,81,1,131,2,16-Mar
Cuba,80,13,2,,4,74,2,7,0.2,10-Mar
Guadeloupe,73,,1,,,72,4,182,2,12-Mar
Nigeria,70,5,1,,3,66,,0.3,0,27-Feb
Honduras,68,1,1,,,67,4,7,0.1,10-Mar
Trinidad and Tobago,66,1,2,1,1,63,,47,1,11-Mar
Bolivia,61,,,,,61,,5,,09-Mar
Kyrgyzstan,58,14,,,,58,,9,,17-Mar
Liechtenstein,56,,,,,56,,1469,,02-Mar
Gibraltar,55,20,,,14,41,,1632,,02-Mar
Rwanda,54,4,,,,54,,4,,13-Mar
Paraguay,52,11,3,,1,48,1,7,0.4,06-Mar
DRC,51,,3,,2,46,,0.6,0.03,09-Mar
Mayotte,50,14,,,,50,,183,,13-Mar
Bangladesh,48,4,5,,11,32,1,0.3,0.03,07-Mar
Monaco,42,9,,,1,41,,1070,,27-Feb
Macao,34,1,,,10,24,,52,,21-Jan
Aruba,33,5,,,1,32,,309,,12-Mar
Kenya,31,,1,,1,29,2,0.6,0.02,12-Mar
French Polynesia,30,,,,,30,,107,,10-Mar
Isle of Man,29,3,,,,29,,341,,18-Mar
Guatemala,28,3,1,,4,23,1,2,0.06,12-Mar
French Guiana,28,,,,6,22,,94,,06-Mar
Jamaica,26,,1,,2,23,,9,0.3,09-Mar
Barbados,26,2,,,,26,,90,,16-Mar
Madagascar,26,3,,,,26,,0.9,,19-Mar
Togo,25,1,1,1,1,23,,3,0.1,05-Mar
Uganda,23,9,,,,23,,0.5,,20-Mar
Zambia,22,6,,,,22,,1,,17-Mar
Bermuda,17,2,,,2,15,,273,,17-Mar
Ethiopia,16,4,,,,16,,0.1,,12-Mar
Maldives,16,3,,,9,7,,30,,06-Mar
New Caledonia,15,1,,,,15,,53,,17-Mar
El Salvador,13,,,,,13,,2,,18-Mar
Tanzania,13,,,,1,12,,0.2,,15-Mar
Djibouti,12,1,,,,12,,12,,17-Mar
Equatorial Guinea,12,,,,,12,,9,,13-Mar
Dominica,11,,,,,11,,153,,21-Mar
Mali,11,7,,,,11,,0.5,,24-Mar
Mongolia,11,,,,,11,,3,,09-Mar
Saint Martin,11,,,,,11,,284,,29-Feb
Niger,10,,1,,,9,,0.4,0.04,18-Mar
Bahamas,10,1,,,1,9,,25,,14-Mar
Greenland,10,4,,,2,8,,176,,15-Mar
Eswatini,9,3,,,,9,,8,,13-Mar
Cayman Islands,8,,1,,,7,,122,15,12-Mar
Curaçao,8,1,1,,2,5,,49,6,12-Mar
Guinea,8,4,,,,8,,0.6,,12-Mar
Haiti,8,,,,,8,,0.7,,19-Mar
Myanmar,8,3,,,,8,,0.1,,22-Mar
Namibia,8,,,,2,6,,3,,13-Mar
Suriname,8,,,,,8,,14,,12-Mar
Gabon,7,,1,,,6,,3,0.4,12-Mar
Antigua and Barbuda,7,,,,,7,,71,,12-Mar
Grenada,7,,,,,7,,62,,21-Mar
Mozambique,7,,,,,7,,0.2,,21-Mar
Seychelles,7,,,,,7,,71,,13-Mar
Benin,6,,,,,6,,0.5,,15-Mar
